Position,x,y,FF:FF:11:15:F5:9A,FF:FF:11:15:2D:C4,FF:FF:11:10:14:A0,Distance_B_Blu_FF_FF_11_10_14_A0,Distance_B_Verde_FF:FF:11:15:2D:C4,Distance_B_Nero_FF:FF:11:15:F5:9A
329.0,1.0,1.63,-76.0,-73.0,-64.0,1.912,2.024,1.845
330.0,1.0,1.73,-67.0,-70.0,-61.0,1.998,2.105,1.761
331.0,1.0,1.83,-70.0,-62.0,-61.0,2.085,2.188,1.68
332.0,1.0,1.93,-68.0,-66.0,-60.0,2.174,2.273,1.601
333.0,1.0,2.03,-78.0,-68.0,-66.0,2.263,2.358,1.524
334.0,1.0,2.13,-65.0,-65.0,-66.0,2.353,2.445,1.45
335.0,1.0,2.23,-63.0,-67.0,-69.0,2.444,2.532,1.379
336.0,1.0,2.33,-63.0,-63.0,-66.0,2.536,2.621,1.312
337.0,1.0,2.43,-66.0,-65.0,-64.0,2.628,2.71,1.25
338.0,1.0,2.53,-62.0,-66.0,-69.0,2.72,2.8,1.193
339.0,1.0,2.63,-62.0,-66.0,-69.0,2.814,2.891,1.141
